date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-09-2025,Telangana,Jayashankar Bhupalpally,505504,1,1,0
02-09-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
02-09-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
01-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
01-09-2025,Telangana,Jayashankar Bhupalpally,506348,2,3,0
01-09-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
06-09-2025,Telangana,Jayashankar Bhupalpally,506356,2,1,0
05-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
05-09-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
04-09-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
04-09-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
04-09-2025,Telangana,Jayashankar Bhupalpally,506348,1,1,0
09-09-2025,Telangana,Jayashankar Bhupalpally,506348,5,0,0
08-09-2025,Telangana,Jayashankar Bhupalpally,505503,2,0,0
11-09-2025,Telangana,Jayashankar Bhupalpally,506366,1,1,0
12-09-2025,Telangana,Jayashankar Bhupalpally,505503,6,2,0
12-09-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
16-09-2025,Telangana,Jayashankar Bhupalpally,505503,5,0,0
16-09-2025,Telangana,Jayashankar Bhupalpally,506345,1,1,0
16-09-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
15-09-2025,Telangana,Jayashankar Bhupalpally,506356,2,0,0
17-09-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
17-09-2025,Telangana,Jayashankar Bhupalpally,506169,3,0,0
17-09-2025,Telangana,Jayashankar Bhupalpally,506356,2,1,0
18-09-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
18-09-2025,Telangana,Jayashankar Bhupalpally,506345,1,1,0
20-09-2025,Telangana,Jayashankar Bhupalpally,506356,2,1,0
22-09-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
25-09-2025,Telangana,Jayashankar Bhupalpally,506169,1,1,0
23-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,1,0
23-09-2025,Telangana,Jayashankar Bhupalpally,506169,2,1,0
23-09-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
24-09-2025,Telangana,Jayashankar Bhupalpally,505503,3,0,0
27-09-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
26-09-2025,Telangana,Jayashankar Bhupalpally,505503,2,1,0
13-10-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
16-10-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
17-10-2025,Telangana,Jayashankar Bhupalpally,506168,0,2,0
20-10-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
19-10-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
18-10-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
24-10-2025,Telangana,Jayashankar Bhupalpally,506356,5,0,0
21-10-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
27-10-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
28-10-2025,Telangana,Jayashankar Bhupalpally,506169,1,1,0
28-10-2025,Telangana,Jayashankar Bhupalpally,506345,3,0,0
29-10-2025,Telangana,Jayashankar Bhupalpally,505503,1,1,0
06-11-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
06-11-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
07-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
07-11-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
07-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
07-11-2025,Telangana,Jayashankar Bhupalpally,506356,2,1,0
08-11-2025,Telangana,Jayashankar Bhupalpally,505503,1,1,0
12-11-2025,Telangana,Jayashankar Bhupalpally,505503,2,1,0
12-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,1,0
14-11-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
30-10-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
30-10-2025,Telangana,Jayashankar Bhupalpally,506348,6,0,0
30-10-2025,Telangana,Jayashankar Bhupalpally,506356,4,4,0
31-10-2025,Telangana,Jayashankar Bhupalpally,501141,1,0,0
31-10-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
01-11-2025,Telangana,Jayashankar Bhupalpally,505503,1,2,0
01-11-2025,Telangana,Jayashankar Bhupalpally,505504,2,0,0
01-11-2025,Telangana,Jayashankar Bhupalpally,506168,2,0,0
01-11-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506169,7,0,0
03-11-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
03-11-2025,Telangana,Jayashankar Bhupalpally,506164,0,2,0
11-11-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
11-11-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
15-11-2025,Telangana,Jayashankar Bhupalpally,505503,3,0,0
